ST  TRST    tcdA    tcdB    cdtAB   tcdDel  A117T
1   027;210 +   +   +   18  +   -
2   014 +   +   -   0   -   -
3   001 +   +   -   0   -   -
4   068 +   +   -   0   -   -
5   016 +   +   +   0;18;54   - +
6   052 +   +   -   0   -   -
7   097 +   +   -   0   -   -
8   002;115 +   +   0   -   -
9   028 +   +   -   0   -   -
10  045 +   +   -   18   -   -
11  070;067 +   +   +   39   -  +
12  003 +   +   -   0   -   -
13  014 +   +   -   0;18   -   -
14  065 +   +   -   0   -   -
16  029 +   +   -   0   -   -
17  005 +   +   -   0   -   -
18  029 +   +   -   0   -   -
19  NA  +   +   -   0   -   -
21  012 +   +   -   0   -   -
22  122 +   +   +   54   -  +
28  062 +   +   -   18   -   -
33  064 +   +   -   0   -   -
34  056 +   +   -   0   -   -
35  046 +   +   -   0   -   -
36  087;011 +   +   0   -   -
37  017 -   +   -   0   -   -
41  NA  +   +   -   18   -   -
41  NA  +   +   +   18  +   -
42  062 +   +   -   0   -   -
43  054 +   +   -   0   -   -
44  015 +   +   -   0   -   -
45  013 +   +   -   0   -   -
46  058 +   +   -   0   -   -
47  041 +   +   +   18   -   -
48  NA  +   +   -   0   -   -
49  065 +   +   -   0   -   -
51  002;120;131 +   +   -   0;18   -   -
52  120 +   +   -   0   -   -
53  022 +   +   -   0   -   -
54  012 +   +   -   0   -   -
55  048 +   +   -   0   -   -
57  003 +   +   -   0   -   -
58  056 +   +   -   0   -   -
59  044 +   +   -   0   -   -
63  012 +   +   -   0   -   -
67  078 +   +   +   18   -   -
69  001 +   +   -   0   -   -
75  NA  +   +   -   18   -   -
76  001 +   +   -   0   -   -
77  190 +   +   -   0   -   -
80  191 +   +   -   0   -   -
88  217 -   +   -   0   -   -
92  270 +   +   -   0   -   -
102  014 +   +   -   0   -   -
103 043 +   +   -   0   -   -
110 014 +   +   -   0   -   -
122 026 +   +   +   18   -   -
129 168 +   +   -   0   -   -
133 205 +   +   -   0   -   -
139 012 +   +   -   0   -   -
149 002 +   +   -   0   -   -
160 015 +   +   -   0   -   -
172 129 +   +   -   0   -   -
185 024 +   +   -   0   -   -
221 NA +   +    +   3   -   +
223 041 +   +   +   18   -   -
231 201 +   +   +   0   -   -
235 NA +   +   -   0   -   -
237 120 +   +   -   0   -   -
239 288 +   +   -   0   -   -
245 001;072 +   +   0   -   -
278 048 +   +   -   0   -   -
294 054 +   +   -   0   -   -
322 120 +   +   -   0   -   -
325 011 +   +   -   0   -   -
454 204 +   +   -   0   -   -
512 048 +   +   -   0   -   -
580 071 +   +   -   0   -   -
611 002 +   +   -   0   -   -
616 052 +   +   -   0   -   -
618 028 +   +   -   0   -   -
