sample_name	Illumina_read_files	Nanopore_read_file	assembly_file	config
ERR3528110	ERR3528110_1.fastq.gz,ERR3528110_2.fastq.gz	Na	ERR3528110.fasta	E_coli.yaml
ERR142064	ERR142064_1.fastq.gz,ERR142064_2.fastq.gz	Na	ERR142064.fasta	C_difficile.yaml
SRR5410473	SRR5410473_1.fastq.gz,SRR5410473_2.fastq.gz	Na	Na	C_difficile.yaml
SRR2915766	SRR2915766_1.fastq.gz,SRR2915766_2.fastq.gz	Na	Na	C_difficile.yaml
SRR10518319	SRR10518319_1.fastq.gz,SRR10518319_2.fastq.gz	Na	Na	C_difficile.yaml
SRR10518508	SRR10518508_1.fastq.gz,SRR10518508_2.fastq.gz	Na	Na	C_difficile.yaml
ERR027374	ERR027374_1.fastq.gz,ERR027374_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769804	SRR26769804_1.fastq.gz,SRR26769804_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769802	SRR26769802_1.fastq.gz,SRR26769802_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769817	SRR26769817_1.fastq.gz,SRR26769817_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769814	SRR26769814_1.fastq.gz,SRR26769814_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769815	SRR26769815_1.fastq.gz,SRR26769815_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769809	SRR26769809_1.fastq.gz,SRR26769809_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769812	SRR26769812_1.fastq.gz,SRR26769812_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769793	SRR26769793_1.fastq.gz,SRR26769793_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769791	SRR26769791_1.fastq.gz,SRR26769791_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26769803	SRR26769803_1.fastq.gz,SRR26769803_2.fastq.gz	Na	Na	C_difficile.yaml
SRR14766156	SRR14766156_1.fastq.gz,SRR14766156_2.fastq.gz	Na	Na	C_difficile.yaml
SRR14766164	SRR14766164_1.fastq.gz,SRR14766164_2.fastq.gz	Na	Na	C_difficile.yaml
SRR14766189	SRR14766189_1.fastq.gz,SRR14766189_2.fastq.gz	Na	Na	C_difficile.yaml
SRR14766166	SRR14766166_1.fastq.gz,SRR14766166_2.fastq.gz	Na	Na	C_difficile.yaml
SRR14766168	SRR14766168_1.fastq.gz,SRR14766168_2.fastq.gz	Na	Na	C_difficile.yaml
SRR14766163	SRR14766163_1.fastq.gz,SRR14766163_2.fastq.gz	Na	Na	C_difficile.yaml
SRR14766186	SRR14766186_1.fastq.gz,SRR14766186_2.fastq.gz	Na	Na	C_difficile.yaml
SRR14766165	SRR14766165_1.fastq.gz,SRR14766165_2.fastq.gz	Na	Na	C_difficile.yaml
SRR14766180	SRR14766180_1.fastq.gz,SRR14766180_2.fastq.gz	Na	Na	C_difficile.yaml
SRR12520767	SRR12520767_1.fastq.gz,SRR12520767_2.fastq.gz	Na	Na	C_difficile.yaml
SRR12520739	SRR12520739_1.fastq.gz,SRR12520739_2.fastq.gz	Na	Na	C_difficile.yaml
SRR12520720	SRR12520720_1.fastq.gz,SRR12520720_2.fastq.gz	Na	Na	C_difficile.yaml
SRR12520678	SRR12520678_1.fastq.gz,SRR12520678_2.fastq.gz	Na	Na	C_difficile.yaml
SRR12520650	SRR12520650_1.fastq.gz,SRR12520650_2.fastq.gz	Na	Na	C_difficile.yaml
SRR26767787	SRR26767787_1.fastq.gz,SRR26767787_2.fastq.gz	Na	Na	C_difficile.yaml
SRR2915768	SRR2915768_1.fastq.gz,SRR2915768_2.fastq.gz	Na	Na	C_difficile.yaml
SRR2915763	SRR2915763_1.fastq.gz,SRR2915763_2.fastq.gz	Na	Na	C_difficile.yaml
